year,soc_name,soc,cip_name,cip,avg_wage,avg_wage_moe,num_ppl,num_ppl_moe,num_ppl_rca
2016,"Packers & packagers, hand","537064","Computer and Information Sciences and Support Services","11",16840.7,7042.34,1017,575.117,1.25058
2016,"Firstline supervisors of housekeeping & janitorial workers","371011","Computer and Information Sciences and Support Services","11",39667.8,19277.6,1004,689.054,0.950138
2016,"Eligibility interviewers, government programs","434061","Computer and Information Sciences and Support Services","11",62115.6,10353.7,957,838.465,0.614958
2016,"Administrative services managers","113011","Computer and Information Sciences and Support Services","11",121648.0,46002.4,950,560.679,0.387753
2016,"Industrial & refractory machinery mechanics","49904X","Computer and Information Sciences and Support Services","11",61042.6,16806.1,947,530.734,0.993718
2016,"Payroll & timekeeping clerks","433051","Computer and Information Sciences and Support Services","11",40139.2,12728.4,932,585.729,0.681055
2016,"Meeting, convention, & event planners","131121","Computer and Information Sciences and Support Services","11",47617.8,7909.59,926,567.728,0.294691
2016,"Security & fire alarm systems installers","492098","Computer and Information Sciences and Support Services","11",39134.4,12170.8,897,582.566,4.5788
2016,"Miscellaneous food preparation & serving related workers, including dining room & cafeteria attendants & bartender helpers","3590XX","Computer and Information Sciences and Support Services","11",5274.82,3701.6,889,878.15,1.14337
2016,"Electrical, electronics, & electromechanical assemblers","512020","Computer and Information Sciences and Support Services","11",25848.9,20407.8,878,990.849,2.9943
2016,"Physician assistants","291071","Computer and Information Sciences and Support Services","11",116872.0,38155.8,876,584.308,0.24258
2016,"Doortodoor sales workers, news & street vendors, & related workers","419091","Computer and Information Sciences and Support Services","11",56840.5,56785.2,871,722.332,1.17136
2016,"Broadcast & sound engineering technicians & radio operators, & media & communication equipment workers, all other","2740XX","Computer and Information Sciences and Support Services","11",39923.2,15263.4,853,419.004,0.778377
2016,"Medical assistants","319092","Computer and Information Sciences and Support Services","11",39305.8,19427.5,844,526.72,0.346614
2016,"Flight attendants","532031","Computer and Information Sciences and Support Services","11",29967.2,17528.8,841,569.906,0.533485
2016,"Miscellaneous life, physical, & social science technicians, including social science research assistants","1940YY","Computer and Information Sciences and Support Services","11",46189.5,16670.2,821,519.869,0.250208
2016,"Lodging managers","119081","Computer and Information Sciences and Support Services","11",54169.3,24195.5,815,550.604,0.415055
2016,"Chemical engineers","172041","Computer and Information Sciences and Support Services","11",63174.1,10084.6,799,637.549,0.355107
2016,"News analysts, reporters & correspondents","273020","Computer and Information Sciences and Support Services","11",77932.4,41012.5,796,495.607,0.34519
2016,"Bill & account collectors","433011","Computer and Information Sciences and Support Services","11",37204.7,3432.24,768,473.774,0.727207
2016,"Speechlanguage pathologists","291127","Computer and Information Sciences and Support Services","11",50495.2,22307.5,766,546.716,0.148522
2016,"Psychologists","193030","Computer and Information Sciences and Support Services","11",80908.8,30335.6,758,459.766,0.125744
2016,"Materials engineers","172131","Computer and Information Sciences and Support Services","11",77675.8,11659.6,727,566.019,0.733343
2016,"Miscellaneous installation, maintenance, & repair workers, including wind turbine service technicians","4990XX","Computer and Information Sciences and Support Services","11",48945.1,7360.3,706,466.898,0.738357
2016,"Printing press operators","515112","Computer and Information Sciences and Support Services","11",36531.1,9588.46,704,489.06,1.31565
2016,"Photographers","274021","Computer and Information Sciences and Support Services","11",27093.7,14984.7,699,398.784,0.405893
2016,"Wholesale & retail buyers, except farm products","131022","Computer and Information Sciences and Support Services","11",32001.7,17535.8,698,449.273,0.262892
2016,"Maids & housekeeping cleaners","372012","Computer and Information Sciences and Support Services","11",17243.5,6708.79,695,419.321,0.368844
2016,"Aircraft mechanics & service technicians","493011","Computer and Information Sciences and Support Services","11",38000.5,9284.75,676,606.37,1.05249
2016,"Postal service clerks","435051","Computer and Information Sciences and Support Services","11",40345.6,13204.8,670,516.924,1.18724
2016,"Environmental scientists & geoscientists","192040","Computer and Information Sciences and Support Services","11",86681.3,28826.3,662,440.992,0.244084
2016,"Firstline supervisors of landscaping, lawn service, & groundskeeping workers","371012","Computer and Information Sciences and Support Services","11",36654.8,11630.9,660,462.343,0.686864
2016,"Training & development managers","113131","Computer and Information Sciences and Support Services","11",116126.0,22891.2,656,429.802,0.458236
2016,"Miscellaneous health technologists & technicians","292090","Computer and Information Sciences and Support Services","11",59408.4,26477.7,651,549.698,0.435683
2016,"Statistical assistants","439111","Computer and Information Sciences and Support Services","11",68213.9,30220.9,643,429.134,3.2399
2016,"Tellers","433071","Computer and Information Sciences and Support Services","11",22400.3,3016.69,640,590.682,0.354567
2016,"Gaming services workers","393010","Computer and Information Sciences and Support Services","11",38587.3,16420.5,630,431.547,1.29984
2016,"Insurance underwriters","132053","Computer and Information Sciences and Support Services","11",68911.0,12154.8,630,431.023,0.278989
2016,"Interviewers, except eligibility & loan","434111","Computer and Information Sciences and Support Services","11",39352.4,18166.4,628,375.568,0.431597
2016,"Agents & business managers of artists, performers, & athletes","131011","Computer and Information Sciences and Support Services","11",72742.3,47963.1,622,536.052,0.630921
2016,"Firstline supervisors of personal service workers","391021","Computer and Information Sciences and Support Services","11",25248.1,11310.2,619,517.473,0.758162
